"","codigo_ocorrencia","ocorrencia_classificacao","ocorrencia_tipo","ocorrencia_tipo_categoria","ocorrencia_tipo_icao","ocorrencia_latitude","ocorrencia_longitude","ocorrencia_cidade","ocorrencia_uf","ocorrencia_aerodromo","ocorrencia_dia","ocorrencia_horario","total_recomendacoes","total_aeronaves_envolvidas","ocorrencia_saida_pista","aeronave_operador_categoria","aeronave_tipo_veiculo","aeronave_fabricante","aeronave_modelo","aeronave_tipo_icao","aeronave_motor_tipo","aeronave_motor_quantidade","aeronave_pmd","aeronave_pmd_categoria","aeronave_assentos","aeronave_ano_fabricacao","aeronave_pais_fabricante","aeronave_pais_registro","aeronave_registro_segmento","aeronave_fase_operacao","aeronave_tipo_operacao","aeronave_nivel_dano","total_fatalidades","fator_nome","fator_aspecto","fator_condicionante","fator_area"
"12","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"ATITUDE","ASPECTO PSICOLÓGICO","INDIVIDUAL","FATOR HUMANO"
"13","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"PROCESSO DECISÓRIO","ASPECTO PSICOLÓGICO","INDIVIDUAL","FATOR HUMANO"
"14","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"CAPACITAÇÃO E TREINAMENTO","ASPECTO PSICOLÓGICO","ORGANIZACIONAL","FATOR HUMANO"
"15","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"APLICAÇÃO DE COMANDOS","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"16","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"INSTRUÇÃO","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"17","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"JULGAMENTO DE PILOTAGEM","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"18","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"CULTURA ORGANIZACIONAL","ASPECTO PSICOLÓGICO","ORGANIZACIONAL","FATOR HUMANO"
"19","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"POUCA EXPERIÊNCIA DO PILOTO","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"20","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"SUPERVISÃO GERENCIAL","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"21","200901055963381","ACIDENTE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-2.8139,-40.4083,"JIJOCA DE JERICOACOARA","CE",NA,2009-01-05,09:30:00,6,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","206B","B06","TURBOEIXO","MONOMOTOR","1452","ATÉ 2250 KG",5,"1973","FRANÇA","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","SUBSTANCIAL",0,"PLANEJAMENTO GERENCIAL","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"22","200901058094910","ACIDENTE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-23.1967,-47.0939,"ITUPEVA","SP",NA,2009-01-05,17:00:00,7,1,"NÃO","OPERADOR PARTICULAR","HELICÓPTERO","AGUSTA","A109C","A109","TURBOEIXO","BIMOTOR","2720","ENTRE 2250 E 5700 KG",8,"1990","ITÁLIA","BRASIL","PARTICULAR","RETA FINAL","VOO PRIVADO","SUBSTANCIAL",1,"MANUTENÇÃO DE AERONAVE","DESEMPENHO DO SER HUMANO","MANUTENÇÃO DA AERONAVE","FATOR OPERACIONAL"
"23","200901058094910","ACIDENTE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-23.1967,-47.0939,"ITUPEVA","SP",NA,2009-01-05,17:00:00,7,1,"NÃO","OPERADOR PARTICULAR","HELICÓPTERO","AGUSTA","A109C","A109","TURBOEIXO","BIMOTOR","2720","ENTRE 2250 E 5700 KG",8,"1990","ITÁLIA","BRASIL","PARTICULAR","RETA FINAL","VOO PRIVADO","SUBSTANCIAL",1,"PROJETO","ASPECTO DO PROJETO",NA,"FATOR MATERIAL"
"24","200901067325432","INCIDENTE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-8.0628,-34.8889,"RECIFE","PE","SBRF",2009-01-06,20:40:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","BOEING COMPANY","737-8EH","B738","JATO","BIMOTOR","70533","ACIMA DE 5700 KG",197,"2007","ESTADOS UNIDOS","BRASIL","REGULAR","DESCIDA","VOO REGULAR","NENHUM",0,NA,NA,NA,NA
"25","200901078078550","INCIDENTE","COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO","COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO","CTOL",-3.7454,-61.659,"ANORI","AM",NA,2009-01-07,16:45:00,0,1,"NÃO","OPERADOR DE AERONAVE","HELICÓPTERO","BELL HELICOPTER","212","B212","TURBOEIXO","BIMOTOR","5080","ENTRE 2250 E 5700 KG",15,"1980","FRANÇA","BRASIL","TÁXI AÉREO","DECOLAGEM","TÁXI AÉREO","LEVE",0,NA,NA,NA,NA
"26","200901078248787","INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-12.4897,-38.0236,"MATA DE SÃO JOÃO","BA","SNME",2009-01-07,14:00:00,1,1,"NÃO","ÓRGÃO PÚBLICO","AVIÃO","AEROMOT","AMT-200SO","RF10","PISTÃO","MONOMOTOR","1050","ATÉ 2250 KG",2,"2007","BRASIL","BRASIL","ADMINISTRAÇÃO DIRETA","DECOLAGEM","OPERAÇÃO POLICIAL","LEVE",0,"POUCA EXPERIÊNCIA DO PILOTO","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"27","200901078248787","INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-12.4897,-38.0236,"MATA DE SÃO JOÃO","BA","SNME",2009-01-07,14:00:00,1,1,"NÃO","ÓRGÃO PÚBLICO","AVIÃO","AEROMOT","AMT-200SO","RF10","PISTÃO","MONOMOTOR","1050","ATÉ 2250 KG",2,"2007","BRASIL","BRASIL","ADMINISTRAÇÃO DIRETA","DECOLAGEM","OPERAÇÃO POLICIAL","LEVE",0,"SUPERVISÃO GERENCIAL","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"28","200901078248787","INCIDENTE GRAVE","PERDA DE CONTROLE NO SOLO","PERDA DE CONTROLE NO SOLO","LOC-G",-12.4897,-38.0236,"MATA DE SÃO JOÃO","BA","SNME",2009-01-07,14:00:00,1,1,"NÃO","ÓRGÃO PÚBLICO","AVIÃO","AEROMOT","AMT-200SO","RF10","PISTÃO","MONOMOTOR","1050","ATÉ 2250 KG",2,"2007","BRASIL","BRASIL","ADMINISTRAÇÃO DIRETA","DECOLAGEM","OPERAÇÃO POLICIAL","LEVE",0,"APLICAÇÃO DE COMANDOS","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"29","200901081355803","INCIDENTE","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","SCF-NP",-2.9662,-60.2105,"MANAUS","AM","SBEG",2009-01-08,20:00:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","EMBRAER","EMB-810C","PA34","PISTÃO","BIMOTOR","2073","ATÉ 2250 KG",6,"1976","BRASIL","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","LEVE",0,NA,NA,NA,NA
"30","200901085090171","INCIDENTE GRAVE","POUSO BRUSCO","CONTATO ANORMAL COM A PISTA","ARC",-11.7392,-49.1322,"GURUPI","TO","SWGI",2009-01-08,00:50:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","MITSUBISHI","MU-2B-36A","MU2","TURBOÉLICE","BIMOTOR","5250","ENTRE 2250 E 5700 KG",11,"1978","JAPÃO","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","LEVE",0,"APLICAÇÃO DE COMANDOS","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"31","200901089296218","INCIDENTE","COLISÃO COM AVE","COLISÃO COM AVE","BIRD",-1.4598,-48.4878,"BELÉM","PA","SBBE",2009-01-08,17:15:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","AIRBUS INDUSTRIE","A320-232","A320","JATO","BIMOTOR","70000","ACIMA DE 5700 KG",184,"2000","FRANÇA","BRASIL","REGULAR","DECOLAGEM","VOO REGULAR","LEVE",0,NA,NA,NA,NA
"32","200901092668885","ACIDENTE","POUSO LONGO","EXCURSÃO DE PISTA","RE",-13.9922,-49.7631,"MARA ROSA","GO",NA,2009-01-09,11:00:00,9,1,"SIM","OPERADOR PARTICULAR","AVIÃO","CIRRUS DESIGN","SR20","SR20","PISTÃO","MONOMOTOR","1360","ATÉ 2250 KG",4,"2006","ESTADOS UNIDOS","BRASIL","PARTICULAR","CORRIDA APÓS POUSO","VOO PRIVADO","SUBSTANCIAL",0,"INFRAESTRUTURA AEROPORTUÁRIA","INFRAESTRUTURA AEROPORTUÁRIA",NA,"FATOR OPERACIONAL"
"33","200901092668885","ACIDENTE","POUSO LONGO","EXCURSÃO DE PISTA","RE",-13.9922,-49.7631,"MARA ROSA","GO",NA,2009-01-09,11:00:00,9,1,"SIM","OPERADOR PARTICULAR","AVIÃO","CIRRUS DESIGN","SR20","SR20","PISTÃO","MONOMOTOR","1360","ATÉ 2250 KG",4,"2006","ESTADOS UNIDOS","BRASIL","PARTICULAR","CORRIDA APÓS POUSO","VOO PRIVADO","SUBSTANCIAL",0,"JULGAMENTO DE PILOTAGEM","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"34","200901092668885","ACIDENTE","POUSO LONGO","EXCURSÃO DE PISTA","RE",-13.9922,-49.7631,"MARA ROSA","GO",NA,2009-01-09,11:00:00,9,1,"SIM","OPERADOR PARTICULAR","AVIÃO","CIRRUS DESIGN","SR20","SR20","PISTÃO","MONOMOTOR","1360","ATÉ 2250 KG",4,"2006","ESTADOS UNIDOS","BRASIL","PARTICULAR","CORRIDA APÓS POUSO","VOO PRIVADO","SUBSTANCIAL",0,"APLICAÇÃO DE COMANDOS","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"35","200901102585599","INCIDENTE GRAVE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-17.7847,-50.9,"RIO VERDE","GO",NA,2009-01-10,11:20:00,0,1,"NÃO","OPERADOR PARTICULAR","AVIÃO","NEIVA INDUSTRIA AERONAUTICA","EMB-711C","P28R","PISTÃO","MONOMOTOR","1202","ATÉ 2250 KG",4,"1976","BRASIL","BRASIL","PARTICULAR","DECOLAGEM","VOO PRIVADO","LEVE",0,"MEMÓRIA","ASPECTO PSICOLÓGICO","INDIVIDUAL","FATOR HUMANO"
"36","200901102585599","INCIDENTE GRAVE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-17.7847,-50.9,"RIO VERDE","GO",NA,2009-01-10,11:20:00,0,1,"NÃO","OPERADOR PARTICULAR","AVIÃO","NEIVA INDUSTRIA AERONAUTICA","EMB-711C","P28R","PISTÃO","MONOMOTOR","1202","ATÉ 2250 KG",4,"1976","BRASIL","BRASIL","PARTICULAR","DECOLAGEM","VOO PRIVADO","LEVE",0,"MANUTENÇÃO DE AERONAVE","DESEMPENHO DO SER HUMANO","MANUTENÇÃO DA AERONAVE","FATOR OPERACIONAL"
"37","200901102585599","INCIDENTE GRAVE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-17.7847,-50.9,"RIO VERDE","GO",NA,2009-01-10,11:20:00,0,1,"NÃO","OPERADOR PARTICULAR","AVIÃO","NEIVA INDUSTRIA AERONAUTICA","EMB-711C","P28R","PISTÃO","MONOMOTOR","1202","ATÉ 2250 KG",4,"1976","BRASIL","BRASIL","PARTICULAR","DECOLAGEM","VOO PRIVADO","LEVE",0,"SUPERVISÃO GERENCIAL","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"38","200901102585599","INCIDENTE GRAVE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-17.7847,-50.9,"RIO VERDE","GO",NA,2009-01-10,11:20:00,0,1,"NÃO","OPERADOR PARTICULAR","AVIÃO","NEIVA INDUSTRIA AERONAUTICA","EMB-711C","P28R","PISTÃO","MONOMOTOR","1202","ATÉ 2250 KG",4,"1976","BRASIL","BRASIL","PARTICULAR","DECOLAGEM","VOO PRIVADO","LEVE",0,"PROCESSOS ORGANIZACIONAIS","ASPECTO PSICOLÓGICO","ORGANIZACIONAL","FATOR HUMANO"
"39","200901107149184","INCIDENTE","COLISÃO COM AVE","COLISÃO COM AVE","BIRD",-22.8767,-43.2279,"RIO DE JANEIRO","RJ","SBGL",2009-01-10,14:06:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","AIRBUS INDUSTRIE","A320-232","A320","JATO","BIMOTOR","77000","ACIMA DE 5700 KG",166,"2006","FRANÇA","BRASIL","REGULAR","APROXIMAÇÃO FINAL","VOO REGULAR","LEVE",0,NA,NA,NA,NA
"40","200901109204402","INCIDENTE","COLISÃO COM AVE","COLISÃO COM AVE","BIRD",-22.8767,-43.2279,"RIO DE JANEIRO","RJ","SBGL",2009-01-10,13:23:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","AIRBUS INDUSTRIE","A320-232","A320","JATO","BIMOTOR","70000","ACIMA DE 5700 KG",184,"2001","FRANÇA","BRASIL","REGULAR","SUBIDA","VOO REGULAR","LEVE",0,NA,NA,NA,NA
"41","200901115543920","INCIDENTE","COLISÃO COM AVE","COLISÃO COM AVE","BIRD",-23.4685,-46.5311,"GUARULHOS","SP","SBGR",2009-01-11,15:40:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","AIRBUS INDUSTRIE","A320-232","A320","JATO","BIMOTOR","77000","ACIMA DE 5700 KG",166,"2006","FRANÇA","BRASIL","REGULAR","POUSO","VOO REGULAR","LEVE",0,NA,NA,NA,NA
"42","200901116399842","INCIDENTE","COLISÃO COM AVE","COLISÃO COM AVE","BIRD",-22.8767,-43.2279,"RIO DE JANEIRO","RJ","SBRJ",2009-01-11,09:05:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","EMBRAER","EMB-121A","E121","TURBOÉLICE","BIMOTOR","5670","ENTRE 2250 E 5700 KG",9,"1980","BRASIL","BRASIL","REGULAR","DECOLAGEM","VOO REGULAR","LEVE",0,NA,NA,NA,NA
"43","200901118595810","ACIDENTE","COM TREM DE POUSO","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE","SCF-NP",-29.9944,-51.1831,"PORTO ALEGRE","RS",NA,2009-01-11,22:21:00,7,1,"NÃO","OPERADOR PARTICULAR","AVIÃO","NEIVA INDUSTRIA AERONAUTICA","EMB-810D","PA34","PISTÃO","BIMOTOR","2155","ATÉ 2250 KG",6,"1998","BRASIL","BRASIL","PARTICULAR","CORRIDA APÓS POUSO","VOO PRIVADO","SUBSTANCIAL",0,"ESQUECIMENTO DO PILOTO","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"44","200901118595810","ACIDENTE","COM TREM DE POUSO","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE","SCF-NP",-29.9944,-51.1831,"PORTO ALEGRE","RS",NA,2009-01-11,22:21:00,7,1,"NÃO","OPERADOR PARTICULAR","AVIÃO","NEIVA INDUSTRIA AERONAUTICA","EMB-810D","PA34","PISTÃO","BIMOTOR","2155","ATÉ 2250 KG",6,"1998","BRASIL","BRASIL","PARTICULAR","CORRIDA APÓS POUSO","VOO PRIVADO","SUBSTANCIAL",0,"SUPERVISÃO GERENCIAL","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
